SETOR,SUBSETOR,SEGMENTO,NOME DE PREGÃO,CÓDIGO,SEGMENTO DE NEGOCIAÇÃO
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",AZT ENERGIA,AZTE,Básico Bolsa
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",BRAVA,BRAV,Novo Mercado
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",COSAN,CSAN,Novo Mercado
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",PET MANGUINH,RPMG,Básico Bolsa
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",PETROBRAS,PETR,Nível 2
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",PETRORECSA,RECV,Novo Mercado
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",PETRORIO,PRIO,Novo Mercado
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",RAIZEN,RAIZ,Nível 2
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",ULTRAPAR,UGPA,Novo Mercado
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",Equipamentos e Serviços,LUPATECH,LUPA,Novo Mercado
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",Equipamentos e Serviços,OCEANPACT,OPCT,Novo Mercado
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",Equipamentos e Serviços,OSX BRASIL,OSXB,Novo Mercado
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",Distribuição de Combustíveis,VIBRA,VBBR,Novo Mercado
Materiais Básicos,Mineração,Minerais Metálicos,AURA 360,AURA,BDR3
Materiais Básicos,Mineração,Minerais Metálicos,BRADESPAR,BRAP,Nível 1
Materiais Básicos,Mineração,Minerais Metálicos,CBA,CBAV,Novo Mercado
Materiais Básicos,Mineração,Minerais Metálicos,CSNMINERACAO,CMIN,Nível 2
Materiais Básicos,Mineração,Minerais Metálicos,LITEL,LTEL,Básico Balcão
Materiais Básicos,Mineração,Minerais Metálicos,LITELA,LTLA,Básico Balcão
Materiais Básicos,Mineração,Minerais Metálicos,VALE,VALE,Novo Mercado
Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,FERBASA,FESA,Nível 1
Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,GERDAU,GGBR,Nível 1
Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,GERDAU MET,GOAU,Nível 1
Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,SID NACIONAL,CSNA,Básico Bolsa
Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,USIMINAS,USIM,Nível 1
Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,HAGA S/A,HAGA,Básico Bolsa
Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,MANGELS INDL,MGEL,Básico Bolsa
Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,PANATLANTICA,PATI,Básico Bolsa
Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,TEKNO,TKNO,Básico Bolsa
Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Cobre,PARANAPANEMA,PMAM,Novo Mercado
Materiais Básicos,Químicos,Petroquímicos,BRASKEM,BRKM,Nível 1
Materiais Básicos,Químicos,Petroquímicos,DEXXOS PAR,DEXP,Nível 1
Materiais Básicos,Químicos,Fertilizantes e Defensivos,FER HERINGER,FHER,Novo Mercado
Materiais Básicos,Químicos,Fertilizantes e Defensivos,NUTRIPLANT,NUTR,Mais
Materiais Básicos,Químicos,Fertilizantes e Defensivos,VITTIA,VITT,Novo Mercado
Materiais Básicos,Químicos,Químicos Diversos,CRISTAL,CRPG,Básico Bolsa
Materiais Básicos,Químicos,Químicos Diversos,UNIPAR,UNIP,Básico Bolsa
Materiais Básicos,Madeira e Papel,Madeira,DEXCO,DXCO,Novo Mercado
Materiais Básicos,Madeira e Papel,Madeira,EUCATEX,EUCA,Nível 1
Materiais Básicos,Madeira e Papel,Papel e Celulose,KLABIN S/A,KLBN,Nível 2
Materiais Básicos,Madeira e Papel,Papel e Celulose,MELHOR SP,MSPA,Básico Bolsa
Materiais Básicos,Madeira e Papel,Papel e Celulose,SUZANO HOLD,NEMO,Básico Bolsa
Materiais Básicos,Madeira e Papel,Papel e Celulose,SUZANO S.A.,SUZB,Novo Mercado
Materiais Básicos,Embalagens,Embalagens,IRANI,RANI,Novo Mercado
Materiais Básicos,Materiais Diversos,Materiais Diversos,SANSUY,SNSY,Básico Bolsa
Bens Industriais,Construção e Engenharia,Produtos para Construção,ETERNIT,ETER,Novo Mercado
Bens Industriais,Construção e Engenharia,Produtos para Construção,PORTOBELLO,PTBL,Novo Mercado
Bens Industriais,Construção e Engenharia,Construção Pesada,AZEVEDO,AZEV,Básico Bolsa
Bens Industriais,Construção e Engenharia,Engenharia Consultiva,SONDOTECNICA,SOND,Básico Bolsa
Bens Industriais,Construção e Engenharia,Serviços Diversos,ARMAC,ARML,Novo Mercado
Bens Industriais,Construção e Engenharia,Serviços Diversos,MILLS,MILS,Novo Mercado
Bens Industriais,Construção e Engenharia,Serviços Diversos,PRINER,PRNR,Novo Mercado
Bens Industriais,Material de Transporte,Material Aeronáutico e de Defesa,EMBRAER,EMBJ,Novo Mercado
Bens Industriais,Material de Transporte,Material Rodoviário,FRAS-LE,FRAS,Nível 1
Bens Industriais,Material de Transporte,Material Rodoviário,MARCOPOLO,POMO,Nível 2
Bens Industriais,Material de Transporte,Material Rodoviário,RANDON PART,RAPT,Nível 1
Bens Industriais,Material de Transporte,Material Rodoviário,RECRUSUL,RCSL,Básico Bolsa
Bens Industriais,Material de Transporte,Material Rodoviário,RIOSULENSE,RSUL,Básico Bolsa
Bens Industriais,Material de Transporte,Material Rodoviário,TUPY,TUPY,Novo Mercado
Bens Industriais,Material de Transporte,Material Rodoviário,WETZEL S/A,MWET,Básico Bolsa
Bens Industriais,Máquinas e Equipamentos,"Motores , Compressores e Outros",SCHULZ,SHUL,Básico Bolsa
Bens Industriais,Máquinas e Equipamentos,"Motores , Compressores e Outros",WEG,WEGE,Novo Mercado
Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,ACO ALTONA,EALT,Básico Bolsa
Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,AERIS,AERI,Novo Mercado
Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,BARDELLA,BDLL,Básico Bolsa
Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,INEPAR,INEP,Básico Bolsa
Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,KEPLER WEBER,KEPL,Novo Mercado
Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,METALFRIO,FRIO,Novo Mercado
Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,PRATICA,PTCA,Mais Nível 2
