dt_Venc.,Preço,Período
2026-01-01,14.903,Há 1 mês
2026-02-01,14.895,Há 1 mês
2026-03-01,14.853,Há 1 mês
2026-04-01,14.79,Há 1 mês
2026-05-01,14.7,Há 1 mês
2026-06-01,14.56,Há 1 mês
2026-07-01,14.435,Há 1 mês
2026-08-01,14.31,Há 1 mês
2026-09-01,14.17,Há 1 mês
2026-10-01,14.015,Há 1 mês
2026-11-01,13.895,Há 1 mês
2026-12-01,13.775,Há 1 mês
2027-01-01,13.635,Há 1 mês
2027-04-01,13.39,Há 1 mês
2027-07-01,13.175,Há 1 mês
2027-08-01,13.145,Há 1 mês
2027-10-01,13.055,Há 1 mês
2028-01-01,12.975,Há 1 mês
2028-04-01,12.965,Há 1 mês
2028-07-01,12.97,Há 1 mês
2028-10-01,13.005,Há 1 mês
2029-01-01,13.015,Há 1 mês
2029-04-01,13.08,Há 1 mês
2029-07-01,13.115,Há 1 mês
2029-10-01,13.165,Há 1 mês
2030-01-01,13.19,Há 1 mês
2030-04-01,13.265,Há 1 mês
2030-07-01,13.26,Há 1 mês
2030-10-01,13.305,Há 1 mês
2031-01-01,13.315,Há 1 mês
2032-01-01,13.42,Há 1 mês
2033-01-01,13.45,Há 1 mês
2034-01-01,13.455,Há 1 mês
2035-01-01,13.44,Há 1 mês
2036-01-01,13.415,Há 1 mês
2037-01-01,13.38,Há 1 mês
2023-02-01,13.654,Há 3 anos
2023-03-01,13.664,Há 3 anos
2023-04-01,13.678,Há 3 anos
2023-05-01,13.7,Há 3 anos
2023-06-01,13.72,Há 3 anos
2023-07-01,13.725,Há 3 anos
2023-08-01,13.71,Há 3 anos
2023-09-01,13.68,Há 3 anos
2023-10-01,13.68,Há 3 anos
2023-11-01,13.63,Há 3 anos
2023-12-01,13.52,Há 3 anos
2024-01-01,13.52,Há 3 anos
2024-04-01,13.305,Há 3 anos
2024-07-01,13.005,Há 3 anos
2024-10-01,12.715,Há 3 anos
2025-01-01,12.505,Há 3 anos
2025-04-01,12.405,Há 3 anos
2025-07-01,12.335,Há 3 anos
2025-10-01,12.315,Há 3 anos
2026-01-01,12.29,Há 3 anos
2026-04-01,12.28,Há 3 anos
2026-07-01,12.275,Há 3 anos
2026-10-01,12.29,Há 3 anos
2027-01-01,12.255,Há 3 anos
2027-04-01,12.115,Há 3 anos
2027-07-01,12.24,Há 3 anos
2027-10-01,12.27,Há 3 anos
2028-01-01,12.27,Há 3 anos
2029-01-01,12.36,Há 3 anos
2030-01-01,12.37,Há 3 anos
2031-01-01,12.4,Há 3 anos
2032-01-01,12.37,Há 3 anos
2033-01-01,12.39,Há 3 anos
2036-01-01,12.3,Há 3 anos
2021-02-01,1.916,Há 5 anos
2021-03-01,1.92,Há 5 anos
2021-04-01,1.95,Há 5 anos
2021-05-01,2.03,Há 5 anos
2021-06-01,2.1,Há 5 anos
2021-07-01,2.22,Há 5 anos
2021-08-01,2.37,Há 5 anos
2021-09-01,2.53,Há 5 anos
2021-10-01,2.685,Há 5 anos
2021-11-01,2.85,Há 5 anos
2021-12-01,2.985,Há 5 anos
2022-01-01,3.14,Há 5 anos
2022-04-01,3.62,Há 5 anos
2022-07-01,4.075,Há 5 anos
2022-10-01,4.49,Há 5 anos
2023-01-01,4.81,Há 5 anos
2023-04-01,5.1,Há 5 anos
2023-07-01,5.365,Há 5 anos
2023-10-01,5.61,Há 5 anos
2024-01-01,5.785,Há 5 anos
2024-04-01,5.97,Há 5 anos
2024-07-01,6.13,Há 5 anos
2024-10-01,6.27,Há 5 anos
2025-01-01,6.38,Há 5 anos
2025-07-01,6.57,Há 5 anos
2025-10-01,6.7,Há 5 anos
2026-01-01,6.76,Há 5 anos
2026-07-01,6.93,Há 5 anos
2027-01-01,7.11,Há 5 anos
2028-01-01,7.35,Há 5 anos
2029-01-01,7.56,Há 5 anos
2031-01-01,7.87,Há 5 anos
2016-02-01,14.385,Há 10 anos
2016-03-01,14.49,Há 10 anos
2016-04-01,14.69,Há 10 anos
2016-05-01,14.8,Há 10 anos
2016-06-01,14.94,Há 10 anos
2016-07-01,15.05,Há 10 anos
2016-08-01,15.18,Há 10 anos
2016-09-01,15.26,Há 10 anos
2016-10-01,15.325,Há 10 anos
2016-11-01,15.41,Há 10 anos
2016-12-01,15.45,Há 10 anos
2017-01-01,15.49,Há 10 anos
2017-02-01,15.57,Há 10 anos
2017-03-01,15.65,Há 10 anos
2017-04-01,15.75,Há 10 anos
2017-07-01,15.96,Há 10 anos
2017-10-01,16.13,Há 10 anos
2018-01-01,16.22,Há 10 anos
2018-04-01,16.35,Há 10 anos
2018-07-01,16.45,Há 10 anos
2018-10-01,16.5,Há 10 anos
2019-01-01,16.52,Há 10 anos
2019-04-01,16.56,Há 10 anos
2019-07-01,16.55,Há 10 anos
2019-10-01,16.57,Há 10 anos
2020-01-01,16.53,Há 10 anos
2020-04-01,16.54,Há 10 anos
2020-07-01,16.52,Há 10 anos
2020-10-01,16.49,Há 10 anos
2021-01-01,16.43,Há 10 anos
2021-04-01,16.43,Há 10 anos
2021-07-01,16.49,Há 10 anos
2022-01-01,16.41,Há 10 anos
2023-01-01,16.4,Há 10 anos
2024-01-01,16.37,Há 10 anos
2025-01-01,16.39,Há 10 anos
2026-01-01,16.38,Há 10 anos
2027-01-01,16.43,Há 10 anos
